Issue Title,Issue Number,State,Created At,Updated At,Closed At,URL,Labels,Author,Comments
About the column type of polymorphic association foreign_type,46906,closed,2023-01-06T10:11:13Z,2023-02-08T06:10:42Z,2023-02-08T06:10:41Z,https://github.com/rails/rails/issues/46906,[],OuYangJinTing,3
Group by using a joined table column with the same name as a enum column fails,46892,closed,2023-01-05T02:42:06Z,2023-01-08T19:07:09Z,2023-01-08T19:07:09Z,https://github.com/rails/rails/issues/46892,"['activerecord', 'attached PR']",harishchronus,3
change_table alters default precision for datetime columns,46889,closed,2023-01-04T21:06:31Z,2023-01-07T16:50:01Z,2023-01-07T16:50:01Z,https://github.com/rails/rails/issues/46889,['activerecord'],jamesarosen,3
Querying deterministically encrypted fields possible using CLI or IDE,46885,closed,2023-01-04T12:36:02Z,2023-01-08T22:41:39Z,2023-01-08T22:41:39Z,https://github.com/rails/rails/issues/46885,['activerecord'],jdescelliers,1
`rails credentials:show` ignores the configured key_path for the master key,46884,closed,2023-01-04T11:53:40Z,2023-01-25T22:27:54Z,2023-01-25T22:27:54Z,https://github.com/rails/rails/issues/46884,"['railties', 'attached PR']",Fjan,2
ActionMailer fails on rails 6.1.6.1 and ruby 3.2,46883,closed,2023-01-04T10:55:21Z,2023-01-05T15:08:00Z,2023-01-04T19:22:23Z,https://github.com/rails/rails/issues/46883,['actionmailer'],javiyu,8
ActionCable subscription problem (possibly Redis related),46882,closed,2023-01-04T07:42:47Z,2023-01-20T15:51:14Z,2023-01-20T15:51:14Z,https://github.com/rails/rails/issues/46882,['more-information-needed'],gmhz,2
Possible deadlock when accessing Mail constants in different threads,46876,closed,2023-01-03T17:40:00Z,2023-01-31T12:57:02Z,2023-01-07T13:38:31Z,https://github.com/rails/rails/issues/46876,[],alanhala,8
Move `ActiveRecord::Type::Boolean` to active_support and forward,46870,closed,2023-01-02T20:18:32Z,2023-01-07T17:33:53Z,2023-01-07T17:33:53Z,https://github.com/rails/rails/issues/46870,[],rickmark,2
Rails logs a 200 even if Rack::ConditionalGet has replaced it with a 304,46869,open,2023-01-02T17:58:04Z,2023-05-19T07:57:39Z,,https://github.com/rails/rails/issues/46869,"['actionpack', 'attached PR', 'With reproduction steps']",matteoredz,5
"Upgrading to Ruby 3.2 and Bundler 2.4.1 hangs on ""Resolving dependencies...""",46867,closed,2023-01-01T17:13:48Z,2023-01-01T17:25:28Z,2023-01-01T17:25:03Z,https://github.com/rails/rails/issues/46867,[],jdufresne,1
Dockerfile: Shrinking the image from 1.6 GB to 600 MB with Debian Slim and multi-stage builds,46855,closed,2022-12-29T23:45:35Z,2023-01-08T11:50:57Z,2023-01-07T18:03:05Z,https://github.com/rails/rails/issues/46855,[],nickjj,12
number_with_precision() helper failing to round float,46854,closed,2022-12-29T21:47:19Z,2022-12-30T19:20:40Z,2022-12-30T19:20:40Z,https://github.com/rails/rails/issues/46854,['more-information-needed'],dachdecker,3
Release a new patch version after self-XSS?,46853,closed,2022-12-29T15:56:37Z,2023-01-03T15:03:35Z,2023-01-03T15:03:34Z,https://github.com/rails/rails/issues/46853,[],dorianmariefr,1
ActiveSupport::Subscriber is not working without eager_load,46852,closed,2022-12-29T15:18:01Z,2022-12-29T20:13:23Z,2022-12-29T20:13:22Z,https://github.com/rails/rails/issues/46852,[],nirname,2
"rails db:prepare will save ""environment=development"" for ar_internal_metadata in test database  ",46845,closed,2022-12-28T11:24:17Z,2023-01-05T14:33:52Z,2023-01-05T14:33:52Z,https://github.com/rails/rails/issues/46845,[],JunichiIto,7
Rails.logger.level for production in docs is wrong,46841,closed,2022-12-27T22:15:24Z,2022-12-30T18:27:01Z,2022-12-30T18:27:01Z,https://github.com/rails/rails/issues/46841,"['docs', 'good first issue']",woto,1
Migrating after a DB reset changes the active storage foreign keys in the schema from bigint to integer,46834,closed,2022-12-27T06:43:51Z,2023-01-07T07:03:27Z,2023-01-06T15:30:05Z,https://github.com/rails/rails/issues/46834,"['activerecord', 'attached PR']",gsmendoza,4
Ruby 3.2.0 Compatibility?,46833,closed,2022-12-27T05:45:00Z,2022-12-28T15:36:52Z,2022-12-28T15:36:52Z,https://github.com/rails/rails/issues/46833,[],OskarEichler,3
There was an error parsing `Gemfile`: `windows` is not a valid platform,46828,closed,2022-12-26T09:36:21Z,2023-01-02T14:04:36Z,2023-01-02T14:04:36Z,https://github.com/rails/rails/issues/46828,['third party issue'],dorianmariefr,5
Stop reco,46826,closed,2022-12-25T20:25:07Z,2022-12-25T20:36:05Z,2022-12-25T20:26:07Z,https://github.com/rails/rails/issues/46826,[],lazaronixon,0
Unexpected routes in console using app.,46822,open,2022-12-25T12:41:48Z,2023-07-13T22:27:08Z,,https://github.com/rails/rails/issues/46822,['railties'],woto,6
"Parallel test databases are truncated before each run, but non-parallel test databases are not",46820,closed,2022-12-24T16:21:03Z,2023-02-09T20:32:13Z,2023-01-05T04:18:24Z,https://github.com/rails/rails/issues/46820,['activerecord'],ghiculescu,4
mail_ext from_address not working,46810,closed,2022-12-23T21:13:28Z,2022-12-23T22:17:07Z,2022-12-23T22:17:07Z,https://github.com/rails/rails/issues/46810,[],romarioliveira25,1
Deterministically encrypted attributes do not support joins for queries with `support_unencrypted_data`,46809,open,2022-12-23T20:58:13Z,2023-02-07T15:40:16Z,,https://github.com/rails/rails/issues/46809,['attached PR'],ezekg,0
"ActiveStorage::MirrorJob always uses the default service, even if overridden via `has_*_attached ..., service: :another_service`",46806,open,2022-12-23T18:56:11Z,2023-01-04T03:42:53Z,,https://github.com/rails/rails/issues/46806,"['attached PR', 'activestorage']",jnimety,3
`ActionText::SystemTestHelper`’s tests don’t run in CI,46804,closed,2022-12-23T16:42:09Z,2023-01-14T21:44:37Z,2023-01-13T21:52:50Z,https://github.com/rails/rails/issues/46804,"['ci issues', 'actiontext']",georgeclaghorn,2
Action Text `fill_in_rich_text_area` system test helper calls nonexistent Trix `Editor` method,46803,closed,2022-12-23T16:37:26Z,2022-12-23T20:16:34Z,2022-12-23T20:16:34Z,https://github.com/rails/rails/issues/46803,[],georgeclaghorn,3
Active Job async adapter may use connections without a lease,46797,open,2022-12-23T04:15:25Z,2023-05-24T19:18:55Z,,https://github.com/rails/rails/issues/46797,"['activejob', 'pinned']",georgeclaghorn,13
Deterministically encrypted attributes do not support string attributes in queries with `support_unencrypted_data`,46788,closed,2022-12-21T23:04:32Z,2022-12-22T15:27:20Z,2022-12-22T15:27:20Z,https://github.com/rails/rails/issues/46788,[],ezekg,1
`synchronize': can't be called from trap context (ThreadError),46785,closed,2022-12-21T11:13:55Z,2023-04-11T03:01:15Z,2023-04-11T03:01:15Z,https://github.com/rails/rails/issues/46785,['more-information-needed'],aaronjensen,4
"raw_post being empty for ""Transfer-Encoding: chunked""",46784,closed,2022-12-21T03:15:15Z,2023-03-12T02:42:51Z,2023-03-12T02:42:05Z,https://github.com/rails/rails/issues/46784,['actionpack'],tooooooooomy,4
Deprecation error when calling `sum` on objects that can be summed,46779,closed,2022-12-20T02:43:18Z,2023-01-17T20:51:26Z,2023-01-17T20:51:26Z,https://github.com/rails/rails/issues/46779,['activesupport'],ghiculescu,9
N+1 issue when listing attachement and variants,46770,closed,2022-12-19T14:37:36Z,2023-06-29T19:28:08Z,2023-06-29T19:28:08Z,https://github.com/rails/rails/issues/46770,"['attached PR', 'activestorage']",paul-bonnel-fr,6
Rest api documentation #documentation,46764,closed,2022-12-18T08:48:34Z,2023-02-18T21:19:57Z,2023-02-18T21:19:57Z,https://github.com/rails/rails/issues/46764,"['docs', 'good first issue']",G33kNoob,7
Incorrectly raising on Readonly Attributes for belongs_to associations,46758,closed,2022-12-17T03:45:13Z,2023-01-03T18:03:35Z,2023-01-03T18:03:35Z,https://github.com/rails/rails/issues/46758,"['activerecord', 'attached PR']",ghiculescu,0
Use `File.absolute_path?` instead of `Pathname`,46741,closed,2022-12-15T18:18:14Z,2023-01-07T18:05:34Z,2023-01-07T18:05:34Z,https://github.com/rails/rails/issues/46741,['good first issue'],voxik,5
has_one association getting deleted on using create_association & validation fails,46737,closed,2022-12-15T11:55:35Z,2022-12-23T08:31:39Z,2022-12-23T08:31:39Z,https://github.com/rails/rails/issues/46737,[],akshaymohite,4
zeitwerk_integration_test.rb fails against yjit-enabled Ruby 3.2.0dev ,46734,closed,2022-12-15T02:50:17Z,2022-12-15T23:41:45Z,2022-12-15T23:41:44Z,https://github.com/rails/rails/issues/46734,"['railties', 'ci issues']",yahonda,10
Rails db migrations fails with multiple databases when an activerecord object is called.,46733,closed,2022-12-15T02:03:43Z,2022-12-15T15:24:55Z,2022-12-15T15:23:59Z,https://github.com/rails/rails/issues/46733,[],freibuis,2
`default_scope` side effect when using `all_queries: true`,46731,closed,2022-12-14T22:57:55Z,2022-12-16T17:50:04Z,2022-12-16T14:02:21Z,https://github.com/rails/rails/issues/46731,['activerecord'],gustavompo,3
Duplicate tests/unused action in test controller raises error when used.,46724,closed,2022-12-14T14:01:56Z,2023-01-16T23:40:28Z,2023-01-16T23:40:28Z,https://github.com/rails/rails/issues/46724,"['actionpack', 'good first issue']",leonelgalan,4
